1m70 , A , 2 , 2 , 190 , 81 , 0 , 2 , 17 , 42
1wur , A , 2 , 1 , 185 , 95 , 0 , 1 , 10 , 41
2ahr , C , 2 , 2 , 249 , 150 , 0 , 0 , 14 , 38
1orb , A , 2 , 2 , 293 , 155 , 0 , 6 , 33 , 53
3rk1 , B , 2 , 2 , 218 , 108 , 0 , 9 , 29 , 55
3h47 , A , 2 , 2 , 203 , 74 , 0 , 0 , 9 , 29
3ka2 , A , 2 , 1 , 200 , 93 , 0 , 5 , 26 , 61
3bl4 , A , 2 , 2 , 119 , 51 , 0 , 0 , 13 , 25
2hza , A , 2 , 2 , 129 , 54 , 0 , 0 , 13 , 43
1qs2 , A , 2 , 3 , 401 , 205 , 0 , 0 , 5 , 10
1sau , A , 2 , 1 , 123 , 53 , 0 , 18 , 50 , 94
2hbw , A , 2 , 2 , 251 , 107 , 0 , 5 , 28 , 60
2bw0 , A , 2 , 2 , 309 , 153 , 0 , 0 , 7 , 42
2trc , P , 2 , 2 , 212 , 93 , 0 , 0 , 17 , 25
1a79 , A , 2 , 2 , 171 , 95 , 0 , 1 , 31 , 50
1ybi , A , 2 , 2 , 284 , 140 , 0 , 0 , 30 , 59
3edp , A , 2 , 1 , 219 , 98 , 0 , 0 , 8 , 25
3rf3 , B , 2 , 3 , 258 , 115 , 0 , 0 , 2 , 10
1c0m , A , 2 , 2 , 221 , 118 , 0 , 0 , 15 , 40
1ncf , A , 2 , 2 , 140 , 52 , 0 , 0 , 2 , 9
2qj2 , A , 2 , 2 , 179 , 84 , 0 , 0 , 21 , 52
2i5v , O , 2 , 2 , 259 , 91 , 0 , 0 , 4 , 14
1fpo , A , 2 , 2 , 171 , 54 , 0 , 0 , 4 , 11
1lbu , A , 2 , 1 , 214 , 99 , 0 , 12 , 27 , 61
1gkg , A , 2 , 2 , 136 , 10 , 0 , 1 , 0 , 10
1vfg , A , 2 , 2 , 342 , 164 , 0 , 0 , 1 , 13
2r6i , A , 2 , 2 , 263 , 127 , 0 , 0 , 11 , 34
1a6q , A , 2 , 3 , 363 , 191 , 0 , 1 , 6 , 18
1tua , A , 2 , 2 , 189 , 84 , 0 , 1 , 14 , 37
1hv9 , A , 2 , 3 , 449 , 215 , 0 , 0 , 0 , 9
1p42 , A , 2 , 1 , 273 , 143 , 0 , 14 , 32 , 50
2wxu , A , 2 , 3 , 361 , 201 , 0 , 1 , 14 , 33
1rqu , A , 2 , 2 , 120 , 27 , 0 , 0 , 2 , 6
2ra9 , A , 2 , 1 , 129 , 46 , 0 , 9 , 31 , 51
1vl2 , D , 2 , 3 , 389 , 250 , 0 , 0 , 0 , 7
1u4g , A , 2 , 2 , 298 , 165 , 0 , 5 , 30 , 60
1xr4 , A , 2 , 3 , 494 , 310 , 0 , 0 , 1 , 7
1b8f , A , 2 , 4 , 506 , 278 , 0 , 0 , 10 , 21
1feu , A , 2 , 2 , 185 , 69 , 0 , 0 , 6 , 31
3md2 , A , 2 , 1 , 142 , 71 , 0 , 20 , 55 , 101
1jaj , A , 2 , 2 , 174 , 68 , 0 , 3 , 21 , 55
1x9y , A , 2 , 2 , 346 , 195 , 0 , 2 , 14 , 39
1ctu , A , 2 , 2 , 294 , 156 , 0 , 8 , 30 , 51
1wlf , A , 2 , 1 , 164 , 78 , 0 , 12 , 35 , 70
3bt3 , A , 2 , 1 , 129 , 62 , 0 , 8 , 24 , 53
1g38 , A , 2 , 3 , 393 , 203 , 0 , 0 , 4 , 25
1now , A , 2 , 3 , 480 , 281 , 0 , 0 , 4 , 18
1ual , A , 2 , 3 , 243 , 96 , 0 , 0 , 17 , 23
2arz , A , 2 , 2 , 239 , 121 , 0 , 2 , 19 , 41
2qik , A , 2 , 2 , 273 , 137 , 0 , 2 , 18 , 45
1kb0 , A , 2 , 4 , 675 , 422 , 0 , 0 , 0 , 8
1po3 , A , 2 , 4 , 647 , 363 , 0 , 0 , 1 , 2
2ibd , A , 2 , 1 , 200 , 93 , 0 , 1 , 25 , 47
2r01 , A , 2 , 2 , 201 , 75 , 0 , 2 , 16 , 33
2nnu , A , 2 , 2 , 201 , 81 , 0 , 0 , 6 , 25
2fcw , B , 2 , 1 , 78 , 28 , 0 , 2 , 17 , 28
1jhd , A , 2 , 3 , 396 , 217 , 0 , 0 , 11 , 17
2bgh , A , 2 , 3 , 413 , 224 , 0 , 0 , 4 , 25
1n6c , A , 2 , 2 , 283 , 117 , 0 , 0 , 19 , 27
2elc , A , 2 , 2 , 329 , 199 , 0 , 3 , 18 , 53
1qo6 , A , 2 , 1 , 101 , 27 , 0 , 2 , 13 , 37
1sj8 , A , 2 , 2 , 297 , 134 , 0 , 0 , 7 , 19
3kjd , B , 2 , 3 , 353 , 179 , 0 , 0 , 7 , 20
1lqs , L , 2 , 2 , 142 , 79 , 0 , 0 , 8 , 15
2z6r , A , 2 , 2 , 264 , 152 , 0 , 0 , 23 , 47
1skz , A , 2 , 1 , 104 , 27 , 0 , 8 , 13 , 19
1knx , B , 2 , 2 , 304 , 178 , 0 , 0 , 2 , 23
3dpo , A , 2 , 2 , 223 , 89 , 0 , 0 , 8 , 19
2fef , A , 2 , 2 , 283 , 155 , 0 , 6 , 14 , 28
1wku , B , 2 , 2 , 227 , 115 , 0 , 1 , 26 , 57
