509 , 0.060
523 , 0.028
463 , 0.059
282 , 0.063
503 , 0.085
84 , 0.070
435 , 0.063
467 , 0.072
401 , 0.080
288 , 0.068
466 , 0.069
440 , 0.051
280 , 0.055
338 , 0.046
468 , 0.037
621 , 0.054
603 , 0.052
228 , 0.057
496 , 0.068
292 , 0.076
366 , 0.065
634 , 0.060
433 , 0.085
304 , 0.053
574 , 0.074
601 , 0.053
584 , 0.052
487 , 0.055
282 , 0.061
504 , 0.086
538 , 0.060
403 , 0.058
402 , 0.062
639 , 0.080
126 , 0.051
510 , 0.053
487 , 0.068
442 , 0.063
286 , 0.059
382 , 0.065
253 , 0.036
269 , 0.066
444 , 0.062
118 , 0.054
289 , 0.052
259 , 0.058
590 , 0.064
482 , 0.047
108 , 0.083
431 , 0.039
349 , 0.069
244 , 0.071
821 , 0.043
428 , 0.044
266 , 0.062
503 , 0.069
347 , 0.075
